Sorbent_Type,Si_Al,NaOH_M,Temp_K,Qmax_Cs_mg_g,Qmax_Sr_mg_g,b_L_mg,E_kJ_mol,R2_Langmuir,Source
Na-MK,1.76,8,298,58.96,,0.0427,9.27,0.975,El-Naggar_2018
Na-MK,1.76,8,313,61.27,,0.046,9.26,0.969,El-Naggar_2018
Na-MK,1.76,8,333,57.6,,0.0665,9.25,0.959,El-Naggar_2018
K-MK,1.76,8,298,42.23,,0.00884,8.32,0.866,El-Naggar_2018
K-MK,1.76,8,313,48.05,,0.00861,8.24,0.897,El-Naggar_2018
K-MK,1.76,8,333,61.54,,0.00781,8.02,0.929,El-Naggar_2018
Na-MKBFS,2.13,8,298,75.82,,0.012,9.27,0.959,El-Naggar_2018
Na-MKBFS,2.13,8,313,80.45,,0.0121,9.26,0.957,El-Naggar_2018
Na-MKBFS,2.13,8,333,82.24,,0.0125,9.25,0.954,El-Naggar_2018
K-MKBFS,2.4,8,298,42.23,,0.00884,8.32,0.866,El-Naggar_2018
K-MKBFS,2.4,8,313,48.05,,0.00861,8.24,0.897,El-Naggar_2018
K-MKBFS,2.4,8,333,61.54,,0.00781,8.02,0.929,El-Naggar_2018
MU-PMK80,1.43,8,298,59.59,18.58,0.0531,13.57,0.979,Hamed_2025
MU-PMK80,1.43,8,313,59.35,19.98,0.064,14.09,0.953,Hamed_2025
MU-PMK80,1.43,8,333,57.74,21.55,0.0778,14.4,0.965,Hamed_2025
MU-PMK80,1.43,10,298,59.59,,0.0531,13.57,0.979,Hamed_2025
MU-PMK80,1.43,10,313,59.35,,0.064,14.09,0.953,Hamed_2025
MU-PMK80,1.43,10,333,57.74,,0.0778,14.4,0.965,Hamed_2025
MU-PMK80,1.43,12,298,59.59,,0.0531,13.57,0.979,Hamed_2025
FA-Geopolymer,2.0,2,298,111.9,,0.0151,9.561,0.977,Tian_2019
FA-Geopolymer,2.0,2,298,,24.18,0.126,14.556,0.993,Tian_2019
Zeolite-Geopolymer,2.0,2,298,87.91,,0.0175,,0.95,Zheng_2023
M/SZMs,2.0,11,298,103.74,,0.28,0.52,0.934,Lei_2021
M/SZMs,2.0,11,298,,54.9,0.41,0.36,0.989,Lei_2021
MS-GP,1.04,1,298,152.84,,0.053,,,Niu_2022
SC-GP,1.01,1,298,152.84,,0.053,,,Niu_2022
MS-GP,1.04,1,298,,279.2,0.0095,,,Niu_2022
SC-GP,1.01,1,298,,279.2,0.0095,,,Niu_2022