FlyAsh,GGBFS,Metakaolin,NaOH_M,Na2SiO3,CopperSlag,RecycledAgg,Curing_Days,Si_Al,Comp_Strength,Density
0,0,0,8,0,0,0,7,2.178,34,1.767
0,0,0,8,0,0,0,7,1.373,63,1.916
0,0,0,8,0,0,0,7,1.433,50,1.876
0,0,0,8,0,0,0,7,1.720,39,1.596
0,0,0,8,0,0,0,7,1.627,53,1.815
0,0,0,8,0,0,0,7,1.663,30,1.879
0,0,0,8,0,0,0,7,1.574,71,1.899
0,0,0,8,0,0,0,7,1.310,11,1.847
0,0,0,8,0,0,0,7,1.801,74,2.009
400,0,0,8,120,0,0,3,2.200,25.7,1.680
400,0,0,8,120,0,0,3,2.200,29.6,1.680
400,0,0,8,120,0,0,3,2.200,52.4,1.680
400,0,0,8,120,0,0,3,2.200,63.7,1.680
400,0,0,8,120,0,0,3,2.200,32.6,1.680
400,0,0,8,120,0,0,3,2.200,53.0,1.680
400,0,0,8,120,0,0,3,2.200,64.0,1.680
400,0,0,8,120,0,0,7,2.200,26.3,1.680
400,0,0,8,120,0,0,7,2.200,30.6,1.680
400,0,0,8,120,0,0,7,2.200,52.7,1.680
400,0,0,8,120,0,0,7,2.200,63.6,1.680
400,0,0,8,120,0,0,7,2.200,32.8,1.680
400,0,0,8,120,0,0,7,2.200,52.9,1.680
400,0,0,8,120,0,0,7,2.200,64.1,1.680
400,0,0,8,120,0,0,14,2.200,27.8,1.680
400,0,0,8,120,0,0,14,2.200,32.8,1.680
400,0,0,8,120,0,0,14,2.200,52.7,1.680
400,0,0,8,120,0,0,14,2.200,65.3,1.680
400,0,0,8,120,0,0,14,2.200,34.4,1.680
400,0,0,8,120,0,0,14,2.200,52.9,1.680
400,0,0,8,120,0,0,14,2.200,65.7,1.680
400,0,0,8,120,0,0,28,2.200,32.0,1.680
400,0,0,8,120,0,0,28,2.200,38.1,1.680
400,0,0,8,120,0,0,28,2.200,52.2,1.680
400,0,0,8,120,0,0,28,2.200,66.2,1.680
400,0,0,8,120,0,0,28,2.200,40.0,1.680
400,0,0,8,120,0,0,28,2.200,55.6,1.680
400,0,0,8,120,0,0,28,2.200,67.0,1.680
400,0,0,10,120,0,0,3,2.200,28.3,1.680
400,0,0,10,120,0,0,3,2.200,32.5,1.680
400,0,0,10,120,0,0,3,2.200,57.6,1.680
400,0,0,10,120,0,0,3,2.200,70.0,1.680
400,0,0,10,120,0,0,3,2.200,35.9,1.680
400,0,0,10,120,0,0,3,2.200,58.3,1.680
400,0,0,10,120,0,0,3,2.200,70.4,1.680
400,0,0,10,120,0,0,7,2.200,28.9,1.680
400,0,0,10,120,0,0,7,2.200,33.7,1.680
400,0,0,10,120,0,0,7,2.200,57.9,1.680
400,0,0,10,120,0,0,7,2.200,69.9,1.680
400,0,0,10,120,0,0,7,2.200,36.1,1.680
400,0,0,10,120,0,0,7,2.200,58.2,1.680
400,0,0,10,120,0,0,7,2.200,70.5,1.680
400,0,0,10,120,0,0,14,2.200,30.6,1.680
400,0,0,10,120,0,0,14,2.200,36.0,1.680
400,0,0,10,120,0,0,14,2.200,57.9,1.680
400,0,0,10,120,0,0,14,2.200,71.9,1.680
400,0,0,10,120,0,0,14,2.200,37.9,1.680
400,0,0,10,120,0,0,14,2.200,58.2,1.680
400,0,0,10,120,0,0,14,2.200,72.2,1.680
400,0,0,10,120,0,0,28,2.200,35.2,1.680
400,0,0,10,120,0,0,28,2.200,42.0,1.680
400,0,0,10,120,0,0,28,2.200,57.4,1.680
400,0,0,10,120,0,0,28,2.200,72.8,1.680
400,0,0,10,120,0,0,28,2.200,44.0,1.680
400,0,0,10,120,0,0,28,2.200,61.2,1.680
400,0,0,10,120,0,0,28,2.200,73.7,1.680
400,0,0,12,120,0,0,3,2.200,31.1,1.680
400,0,0,12,120,0,0,3,2.200,35.8,1.680
400,0,0,12,120,0,0,3,2.200,63.4,1.680
400,0,0,12,120,0,0,3,2.200,77.0,1.680
400,0,0,12,120,0,0,3,2.200,39.5,1.680
400,0,0,12,120,0,0,3,2.200,64.1,1.680
400,0,0,12,120,0,0,3,2.200,77.5,1.680
400,0,0,12,120,0,0,7,2.200,31.8,1.680
400,0,0,12,120,0,0,7,2.200,37.0,1.680
400,0,0,12,120,0,0,7,2.200,63.7,1.680
400,0,0,12,120,0,0,7,2.200,76.9,1.680
400,0,0,12,120,0,0,7,2.200,39.7,1.680
400,0,0,12,120,0,0,7,2.200,64.1,1.680
400,0,0,12,120,0,0,7,2.200,77.5,1.680
400,0,0,12,120,0,0,14,2.200,33.6,1.680
400,0,0,12,120,0,0,14,2.200,39.6,1.680
400,0,0,12,120,0,0,14,2.200,63.7,1.680
400,0,0,12,120,0,0,14,2.200,79.1,1.680
400,0,0,12,120,0,0,14,2.200,41.7,1.680
400,0,0,12,120,0,0,14,2.200,64.1,1.680
400,0,0,12,120,0,0,14,2.200,79.5,1.680
400,0,0,12,120,0,0,28,2.200,38.7,1.680
400,0,0,12,120,0,0,28,2.200,46.2,1.680
400,0,0,12,120,0,0,28,2.200,63.2,1.680
400,0,0,12,120,0,0,28,2.200,80.1,1.680
400,0,0,12,120,0,0,28,2.200,48.4,1.680
400,0,0,12,120,0,0,28,2.200,67.3,1.680
400,0,0,12,120,0,0,28,2.200,81.0,1.680
400,0,0,14,120,0,0,3,2.200,34.3,1.680
400,0,0,14,120,0,0,3,2.200,39.4,1.680
400,0,0,14,120,0,0,3,2.200,69.8,1.680
400,0,0,14,120,0,0,3,2.200,84.8,1.680
400,0,0,14,120,0,0,3,2.200,43.4,1.680
400,0,0,14,120,0,0,3,2.200,70.6,1.680
400,0,0,14,120,0,0,3,2.200,85.2,1.680
400,0,0,14,120,0,0,7,2.200,35.0,1.680
400,0,0,14,120,0,0,7,2.200,40.7,1.680
400,0,0,14,120,0,0,7,2.200,70.1,1.680
400,0,0,14,120,0,0,7,2.200,84.6,1.680
400,0,0,14,120,0,0,7,2.200,43.7,1.680
400,0,0,14,120,0,0,7,2.200,70.5,1.680
400,0,0,14,120,0,0,7,2.200,85.3,1.680
400,0,0,14,120,0,0,14,2.200,37.0,1.680
400,0,0,14,120,0,0,14,2.200,43.6,1.680
400,0,0,14,120,0,0,14,2.200,70.1,1.680
400,0,0,14,120,0,0,14,2.200,87.0,1.680
400,0,0,14,120,0,0,14,2.200,45.9,1.680
400,0,0,14,120,0,0,14,2.200,70.5,1.680
400,0,0,14,120,0,0,14,2.200,87.4,1.680
400,0,0,14,120,0,0,28,2.200,42.6,1.680
400,0,0,14,120,0,0,28,2.200,50.8,1.680
400,0,0,14,120,0,0,28,2.200,69.5,1.680
400,0,0,14,120,0,0,28,2.200,88.1,1.680
400,0,0,14,120,0,0,28,2.200,53.2,1.680
400,0,0,14,120,0,0,28,2.200,74.1,1.680
400,0,0,14,120,0,0,28,2.200,89.2,1.680
300,100,0,8,120,0,0,3,1.950,29.6,1.680
300,100,0,8,120,0,0,3,1.950,34.0,1.680
300,100,0,8,120,0,0,3,1.950,60.3,1.680
300,100,0,8,120,0,0,3,1.950,73.2,1.680
300,100,0,8,120,0,0,3,1.950,37.5,1.680
300,100,0,8,120,0,0,3,1.950,61.0,1.680
300,100,0,8,120,0,0,3,1.950,73.6,1.680
300,100,0,8,120,0,0,7,1.950,30.2,1.680
300,100,0,8,120,0,0,7,1.950,35.2,1.680
300,100,0,8,120,0,0,7,1.950,60.6,1.680
300,100,0,8,120,0,0,7,1.950,73.1,1.680
300,100,0,8,120,0,0,7,1.950,37.8,1.680
300,100,0,8,120,0,0,7,1.950,60.9,1.680
300,100,0,8,120,0,0,7,1.950,73.7,1.680
300,100,0,8,120,0,0,14,1.950,32.0,1.680
300,100,0,8,120,0,0,14,1.950,37.7,1.680
300,100,0,8,120,0,0,14,1.950,60.6,1.680
300,100,0,8,120,0,0,14,1.950,75.2,1.680
300,100,0,8,120,0,0,14,1.950,39.6,1.680
300,100,0,8,120,0,0,14,1.950,60.9,1.680
300,100,0,8,120,0,0,14,1.950,75.5,1.680
300,100,0,8,120,0,0,28,1.950,36.8,1.680
300,100,0,8,120,0,0,28,1.950,43.9,1.680
300,100,0,8,120,0,0,28,1.950,60.1,1.680
300,100,0,8,120,0,0,28,1.950,76.1,1.680
300,100,0,8,120,0,0,28,1.950,46.0,1.680
300,100,0,8,120,0,0,28,1.950,64.0,1.680
300,100,0,8,120,0,0,28,1.950,77.0,1.680
300,100,0,10,120,0,0,3,1.950,32.6,1.680
300,100,0,10,120,0,0,3,1.950,37.4,1.680
300,100,0,10,120,0,0,3,1.950,66.3,1.680
300,100,0,10,120,0,0,3,1.950,80.5,1.680
300,100,0,10,120,0,0,3,1.950,41.3,1.680
300,100,0,10,120,0,0,3,1.950,67.1,1.680
300,100,0,10,120,0,0,3,1.950,81.0,1.680
300,100,0,10,120,0,0,7,1.950,33.3,1.680
300,100,0,10,120,0,0,7,1.950,38.7,1.680
300,100,0,10,120,0,0,7,1.950,66.6,1.680
300,100,0,10,120,0,0,7,1.950,80.4,1.680
300,100,0,10,120,0,0,7,1.950,41.5,1.680
300,100,0,10,120,0,0,7,1.950,67.0,1.680
300,100,0,10,120,0,0,7,1.950,81.1,1.680
300,100,0,10,120,0,0,14,1.950,35.2,1.680
300,100,0,10,120,0,0,14,1.950,41.5,1.680
300,100,0,10,120,0,0,14,1.950,66.6,1.680
300,100,0,10,120,0,0,14,1.950,82.7,1.680
300,100,0,10,120,0,0,14,1.950,43.6,1.680
300,100,0,10,120,0,0,14,1.950,67.0,1.680
300,100,0,10,120,0,0,14,1.950,83.1,1.680
300,100,0,10,120,0,0,28,1.950,40.5,1.680
300,100,0,10,120,0,0,28,1.950,48.3,1.680
300,100,0,10,120,0,0,28,1.950,66.1,1.680
300,100,0,10,120,0,0,28,1.950,83.8,1.680
300,100,0,10,120,0,0,28,1.950,50.6,1.680
300,100,0,10,120,0,0,28,1.950,70.4,1.680
300,100,0,10,120,0,0,28,1.950,84.7,1.680
300,100,0,12,120,0,0,3,1.950,35.8,1.680
300,100,0,12,120,0,0,3,1.950,41.2,1.680
300,100,0,12,120,0,0,3,1.950,72.9,1.680
300,100,0,12,120,0,0,3,1.950,88.6,1.680
300,100,0,12,120,0,0,3,1.950,45.4,1.680
300,100,0,12,120,0,0,3,1.950,73.8,1.680
300,100,0,12,120,0,0,3,1.950,89.1,1.680
300,100,0,12,120,0,0,7,1.950,36.6,1.680
300,100,0,12,120,0,0,7,1.950,42.6,1.680
300,100,0,12,120,0,0,7,1.950,73.3,1.680
300,100,0,12,120,0,0,7,1.950,88.5,1.680
300,100,0,12,120,0,0,7,1.950,45.7,1.680
300,100,0,12,120,0,0,7,1.950,73.7,1.680
300,100,0,12,120,0,0,7,1.950,89.2,1.680
300,100,0,12,120,0,0,14,1.950,38.7,1.680
300,100,0,12,120,0,0,14,1.950,45.6,1.680
300,100,0,12,120,0,0,14,1.950,73.3,1.680
300,100,0,12,120,0,0,14,1.950,91.0,1.680
300,100,0,12,120,0,0,14,1.950,47.9,1.680
300,100,0,12,120,0,0,14,1.950,73.7,1.680
300,100,0,12,120,0,0,14,1.950,91.4,1.680
300,100,0,12,120,0,0,28,1.950,44.6,1.680
300,100,0,12,120,0,0,28,1.950,53.1,1.680
300,100,0,12,120,0,0,28,1.950,72.7,1.680
300,100,0,12,120,0,0,28,1.950,92.1,1.680
300,100,0,12,120,0,0,28,1.950,55.7,1.680
300,100,0,12,120,0,0,28,1.950,77.4,1.680
300,100,0,12,120,0,0,28,1.950,93.2,1.680
300,100,0,14,120,0,0,3,1.950,39.4,1.680
300,100,0,14,120,0,0,3,1.950,45.3,1.680
300,100,0,14,120,0,0,3,1.950,80.2,1.680
300,100,0,14,120,0,0,3,1.950,97.5,1.680
300,100,0,14,120,0,0,3,1.950,49.9,1.680
300,100,0,14,120,0,0,3,1.950,81.2,1.680
300,100,0,14,120,0,0,3,1.950,98.0,1.680
300,100,0,14,120,0,0,7,1.950,40.2,1.680
300,100,0,14,120,0,0,7,1.950,46.9,1.680
300,100,0,14,120,0,0,7,1.950,80.6,1.680
300,100,0,14,120,0,0,7,1.950,97.3,1.680
300,100,0,14,120,0,0,7,1.950,50.3,1.680
300,100,0,14,120,0,0,7,1.950,81.0,1.680
300,100,0,14,120,0,0,7,1.950,98.1,1.680
300,100,0,14,120,0,0,14,1.950,42.6,1.680
300,100,0,14,120,0,0,14,1.950,50.2,1.680
300,100,0,14,120,0,0,14,1.950,80.7,1.680
300,100,0,14,120,0,0,14,1.950,100.0,1.680
300,100,0,14,120,0,0,14,1.950,52.7,1.680
300,100,0,14,120,0,0,14,1.950,81.1,1.680
300,100,0,14,120,0,0,14,1.950,100.0,1.680
300,100,0,14,120,0,0,28,1.950,49.0,1.680
300,100,0,14,120,0,0,28,1.950,58.4,1.680
300,100,0,14,120,0,0,28,1.950,79.9,1.680
300,100,0,14,120,0,0,28,1.950,101.0,1.680
300,100,0,14,120,0,0,28,1.950,61.2,1.680
300,100,0,14,120,0,0,28,1.950,85.2,1.680
300,100,0,14,120,0,0,28,1.950,102.0,1.680
400,0,0,8,120,0,300,3,2.200,35.1,1.740
400,0,0,8,120,0,300,3,2.200,34.8,1.740
400,0,0,8,120,0,300,3,2.200,36.8,1.740
400,0,0,8,120,0,300,3,2.200,48.1,1.740
400,0,0,8,120,0,300,3,2.200,35.3,1.740
400,0,0,8,120,0,300,3,2.200,40.0,1.740
400,0,0,8,120,0,300,3,2.200,49.3,1.740
400,0,0,8,120,0,300,7,2.200,35.3,1.740
400,0,0,8,120,0,300,7,2.200,34.6,1.740
400,0,0,8,120,0,300,7,2.200,36.8,1.740
400,0,0,8,120,0,300,7,2.200,48.4,1.740
400,0,0,8,120,0,300,7,2.200,35.0,1.740
400,0,0,8,120,0,300,7,2.200,39.6,1.740
400,0,0,8,120,0,300,7,2.200,49.5,1.740
400,0,0,8,120,0,300,14,2.200,35.3,1.740
400,0,0,8,120,0,300,14,2.200,34.5,1.740
400,0,0,8,120,0,300,14,2.200,37.7,1.740
400,0,0,8,120,0,300,14,2.200,49.7,1.740
400,0,0,8,120,0,300,14,2.200,34.4,1.740
400,0,0,8,120,0,300,14,2.200,39.5,1.740
400,0,0,8,120,0,300,14,2.200,50.4,1.740
400,0,0,8,120,0,300,28,2.200,35.8,1.740
400,0,0,8,120,0,300,28,2.200,35.8,1.740
400,0,0,8,120,0,300,28,2.200,41.7,1.740
400,0,0,8,120,0,300,28,2.200,50.9,1.740
400,0,0,8,120,0,300,28,2.200,35.3,1.740
400,0,0,8,120,0,300,28,2.200,42.8,1.740
400,0,0,8,120,0,300,28,2.200,51.8,1.740
400,0,0,10,120,0,300,3,2.200,36.0,1.740
400,0,0,10,120,0,300,3,2.200,35.2,1.740
400,0,0,10,120,0,300,3,2.200,37.4,1.740
400,0,0,10,120,0,300,3,2.200,48.9,1.740
400,0,0,10,120,0,300,3,2.200,35.6,1.740
400,0,0,10,120,0,300,3,2.200,40.7,1.740
400,0,0,10,120,0,300,3,2.200,49.6,1.740
400,0,0,10,120,0,300,7,2.200,36.1,1.740
400,0,0,10,120,0,300,7,2.200,34.9,1.740
400,0,0,10,120,0,300,7,2.200,37.4,1.740
400,0,0,10,120,0,300,7,2.200,48.7,1.740
400,0,0,10,120,0,300,7,2.200,35.2,1.740
400,0,0,10,120,0,300,7,2.200,40.2,1.740
400,0,0,10,120,0,300,7,2.200,49.8,1.740
400,0,0,10,120,0,300,14,2.200,36.0,1.740
400,0,0,10,120,0,300,14,2.200,34.6,1.740
400,0,0,10,120,0,300,14,2.200,38.3,1.740
400,0,0,10,120,0,300,14,2.200,49.6,1.740
400,0,0,10,120,0,300,14,2.200,34.7,1.740
400,0,0,10,120,0,300,14,2.200,40.3,1.740
400,0,0,10,120,0,300,14,2.200,50.3,1.740
400,0,0,10,120,0,300,28,2.200,36.6,1.740
400,0,0,10,120,0,300,28,2.200,35.9,1.740
400,0,0,10,120,0,300,28,2.200,42.7,1.740
400,0,0,10,120,0,300,28,2.200,51.1,1.740
400,0,0,10,120,0,300,28,2.200,35.9,1.740
400,0,0,10,120,0,300,28,2.200,43.8,1.740
400,0,0,10,120,0,300,28,2.200,52.0,1.740
400,0,0,12,120,0,300,3,2.200,36.8,1.740
400,0,0,12,120,0,300,3,2.200,35.4,1.740
400,0,0,12,120,0,300,3,2.200,38.2,1.740
400,0,0,12,120,0,300,3,2.200,49.7,1.740
400,0,0,12,120,0,300,3,2.200,35.9,1.740
400,0,0,12,120,0,300,3,2.200,41.7,1.740
400,0,0,12,120,0,300,3,2.200,49.9,1.740
400,0,0,12,120,0,300,7,2.200,36.7,1.740
400,0,0,12,120,0,300,7,2.200,35.2,1.740
400,0,0,12,120,0,300,7,2.200,38.2,1.740
400,0,0,12,120,0,300,7,2.200,49.4,1.740
400,0,0,12,120,0,300,7,2.200,35.6,1.740
400,0,0,12,120,0,300,7,2.200,40.9,1.740
400,0,0,12,120,0,300,7,2.200,50.1,1.740
400,0,0,12,120,0,300,14,2.200,36.5,1.740
400,0,0,12,120,0,300,14,2.200,34.8,1.740
400,0,0,12,120,0,300,14,2.200,39.1,1.740
400,0,0,12,120,0,300,14,2.200,49.7,1.740
400,0,0,12,120,0,300,14,2.200,35.0,1.740
400,0,0,12,120,0,300,14,2.200,41.2,1.740
400,0,0,12,120,0,300,14,2.200,50.6,1.740
400,0,0,12,120,0,300,28,2.200,37.6,1.740
400,0,0,12,120,0,300,28,2.200,36.2,1.740
400,0,0,12,120,0,300,28,2.200,43.6,1.740
400,0,0,12,120,0,300,28,2.200,51.4,1.740
400,0,0,12,120,0,300,28,2.200,36.6,1.740
400,0,0,12,120,0,300,28,2.200,44.5,1.740
400,0,0,12,120,0,300,28,2.200,52.1,1.740
400,0,0,14,120,0,300,3,2.200,37.3,1.740
400,0,0,14,120,0,300,3,2.200,35.8,1.740
400,0,0,14,120,0,300,3,2.200,39.2,1.740
400,0,0,14,120,0,300,3,2.200,50.1,1.740
400,0,0,14,120,0,300,3,2.200,36.2,1.740
400,0,0,14,120,0,300,3,2.200,42.6,1.740
400,0,0,14,120,0,300,3,2.200,50.1,1.740
400,0,0,14,120,0,300,7,2.200,37.3,1.740
400,0,0,14,120,0,300,7,2.200,35.5,1.740
400,0,0,14,120,0,300,7,2.200,39.0,1.740
400,0,0,14,120,0,300,7,2.200,50.0,1.740
400,0,0,14,120,0,300,7,2.200,36.0,1.740
400,0,0,14,120,0,300,7,2.200,41.9,1.740
400,0,0,14,120,0,300,7,2.200,50.4,1.740
400,0,0,14,120,0,300,14,2.200,37.5,1.740
400,0,0,14,120,0,300,14,2.200,35.0,1.740
400,0,0,14,120,0,300,14,2.200,40.1,1.740
400,0,0,14,120,0,300,14,2.200,49.8,1.740
400,0,0,14,120,0,300,14,2.200,35.4,1.740
400,0,0,14,120,0,300,14,2.200,42.1,1.740
400,0,0,14,120,0,300,14,2.200,50.9,1.740
400,0,0,14,120,0,300,28,2.200,38.6,1.740
400,0,0,14,120,0,300,28,2.200,36.5,1.740
400,0,0,14,120,0,300,28,2.200,44.5,1.740
400,0,0,14,120,0,300,28,2.200,51.7,1.740
400,0,0,14,120,0,300,28,2.200,37.2,1.740
400,0,0,14,120,0,300,28,2.200,45.3,1.740
400,0,0,14,120,0,300,28,2.200,52.0,1.740
300,100,0,8,120,0,300,3,1.950,38.6,1.740
300,100,0,8,120,0,300,3,1.950,38.3,1.740
300,100,0,8,120,0,300,3,1.950,40.5,1.740
300,100,0,8,120,0,300,3,1.950,52.9,1.740
300,100,0,8,120,0,300,3,1.950,38.8,1.740
300,100,0,8,120,0,300,3,1.950,44.0,1.740
300,100,0,8,120,0,300,3,1.950,54.2,1.740
300,100,0,8,120,0,300,7,1.950,38.9,1.740
300,100,0,8,120,0,300,7,1.950,38.0,1.740
300,100,0,8,120,0,300,7,1.950,40.5,1.740
300,100,0,8,120,0,300,7,1.950,53.3,1.740
300,100,0,8,120,0,300,7,1.950,38.5,1.740
300,100,0,8,120,0,300,7,1.950,43.6,1.740
300,100,0,8,120,0,300,7,1.950,54.5,1.740
300,100,0,8,120,0,300,14,1.950,38.8,1.740
300,100,0,8,120,0,300,14,1.950,37.9,1.740
300,100,0,8,120,0,300,14,1.950,41.4,1.740
300,100,0,8,120,0,300,14,1.950,54.7,1.740
300,100,0,8,120,0,300,14,1.950,37.9,1.740
300,100,0,8,120,0,300,14,1.950,43.5,1.740
300,100,0,8,120,0,300,14,1.950,55.4,1.740
300,100,0,8,120,0,300,28,1.950,39.3,1.740
300,100,0,8,120,0,300,28,1.950,39.3,1.740
300,100,0,8,120,0,300,28,1.950,45.8,1.740
300,100,0,8,120,0,300,28,1.950,55.9,1.740
300,100,0,8,120,0,300,28,1.950,38.9,1.740
300,100,0,8,120,0,300,28,1.950,47.1,1.740
300,100,0,8,120,0,300,28,1.950,57.0,1.740
300,100,0,10,120,0,300,3,1.950,40.5,1.740
300,100,0,10,120,0,300,3,1.950,40.2,1.740
300,100,0,10,120,0,300,3,1.950,42.5,1.740
300,100,0,10,120,0,300,3,1.950,55.5,1.740
300,100,0,10,120,0,300,3,1.950,40.7,1.740
300,100,0,10,120,0,300,3,1.950,46.2,1.740
300,100,0,10,120,0,300,3,1.950,56.9,1.740
300,100,0,10,120,0,300,7,1.950,40.8,1.740
300,100,0,10,120,0,300,7,1.950,39.9,1.740
300,100,0,10,120,0,300,7,1.950,42.6,1.740
300,100,0,10,120,0,300,7,1.950,55.9,1.740
300,100,0,10,120,0,300,7,1.950,40.5,1.740
300,100,0,10,120,0,300,7,1.950,45.8,1.740
300,100,0,10,120,0,300,7,1.950,57.2,1.740
300,100,0,10,120,0,300,14,1.950,40.8,1.740
300,100,0,10,120,0,300,14,1.950,39.8,1.740
300,100,0,10,120,0,300,14,1.950,43.5,1.740
300,100,0,10,120,0,300,14,1.950,57.4,1.740
300,100,0,10,120,0,300,14,1.950,39.8,1.740
300,100,0,10,120,0,300,14,1.950,45.7,1.740
300,100,0,10,120,0,300,14,1.950,58.2,1.740
300,100,0,10,120,0,300,28,1.950,41.3,1.740
300,100,0,10,120,0,300,28,1.950,41.3,1.740
300,100,0,10,120,0,300,28,1.950,48.1,1.740
300,100,0,10,120,0,300,28,1.950,58.7,1.740
300,100,0,10,120,0,300,28,1.950,40.8,1.740
300,100,0,10,120,0,300,28,1.950,49.5,1.740
300,100,0,10,120,0,300,28,1.950,59.8,1.740
300,100,0,12,120,0,300,3,1.950,42.5,1.740
300,100,0,12,120,0,300,3,1.950,42.2,1.740
300,100,0,12,120,0,300,3,1.950,44.7,1.740
300,100,0,12,120,0,300,3,1.950,58.3,1.740
300,100,0,12,120,0,300,3,1.950,42.8,1.740
300,100,0,12,120,0,300,3,1.950,48.6,1.740
300,100,0,12,120,0,300,3,1.950,59.8,1.740
300,100,0,12,120,0,300,7,1.950,42.8,1.740
300,100,0,12,120,0,300,7,1.950,41.9,1.740
300,100,0,12,120,0,300,7,1.950,44.7,1.740
300,100,0,12,120,0,300,7,1.950,58.7,1.740
300,100,0,12,120,0,300,7,1.950,42.5,1.740
300,100,0,12,120,0,300,7,1.950,48.1,1.740
300,100,0,12,120,0,300,7,1.950,60.0,1.740
300,100,0,12,120,0,300,14,1.950,42.8,1.740
300,100,0,12,120,0,300,14,1.950,41.8,1.740
300,100,0,12,120,0,300,14,1.950,45.7,1.740
300,100,0,12,120,0,300,14,1.950,60.3,1.740
300,100,0,12,120,0,300,14,1.950,41.7,1.740
300,100,0,12,120,0,300,14,1.950,48.0,1.740
300,100,0,12,120,0,300,14,1.950,61.1,1.740
300,100,0,12,120,0,300,28,1.950,43.4,1.740
300,100,0,12,120,0,300,28,1.950,43.4,1.740
300,100,0,12,120,0,300,28,1.950,50.5,1.740
300,100,0,12,120,0,300,28,1.950,61.7,1.740
300,100,0,12,120,0,300,28,1.950,42.8,1.740
300,100,0,12,120,0,300,28,1.950,52.0,1.740
300,100,0,12,120,0,300,28,1.950,62.8,1.740
300,100,0,14,120,0,300,3,1.950,44.6,1.740
300,100,0,14,120,0,300,3,1.950,44.3,1.740
300,100,0,14,120,0,300,3,1.950,46.9,1.740
300,100,0,14,120,0,300,3,1.950,61.2,1.740
300,100,0,14,120,0,300,3,1.950,44.9,1.740
300,100,0,14,120,0,300,3,1.950,51.0,1.740
300,100,0,14,120,0,300,3,1.950,62.8,1.740
300,100,0,14,120,0,300,7,1.950,45.0,1.740
300,100,0,14,120,0,300,7,1.950,44.0,1.740
300,100,0,14,120,0,300,7,1.950,46.9,1.740
300,100,0,14,120,0,300,7,1.950,61.7,1.740
300,100,0,14,120,0,300,7,1.950,44.6,1.740
